title,address,city,state,postal_code,price,facts and features,real estate provider,url
For sale by owner,1012 Onslow St,DURHAM,NC,27705,"$289,000","3 bds , 2 ba , 2,054 sqft",,https://www.zillow.com/homedetails/1012-Onslow-St-Durham-NC-27705/49966771_zpid/
House for sale,2129 Strebor St,DURHAM,NC,27705,"$219,000","3 bds , 2 ba , 1,552 sqft",Allen Tate/Chapel Hill/Durham,https://www.zillow.com/homedetails/2129-Strebor-St-Durham-NC-27705/49985487_zpid/
House for sale,1426 Nicklaus Dr,DURHAM,NC,27705,"$215,000","4 bds , 3 ba , 2,087 sqft",Coldwell Banker Howard Perry and Walston,https://www.zillow.com/homedetails/1426-Nicklaus-Dr-Durham-NC-27705/70922318_zpid/
New construction,3702 Guess Rd,Durham,NC,27705,"$169,000","3 bds , 2 ba , 949 sqft",Frasher Whaley Realty Group,https://www.zillow.com/homedetails/3702-Guess-Rd-Durham-NC-27705/249993676_zpid/
House for sale,3407 Guess Rd,DURHAM,NC,27705,"$175,000","2 bds , 1 ba , 956 sqft",Coldwell Banker Howard Perry and Walston,https://www.zillow.com/homedetails/3407-Guess-Rd-Durham-NC-27705/49984859_zpid/
House for sale,5520 Lockridge Rd,DURHAM,NC,27705,"$675,000","4 bds , 3 ba , 2,540 sqft",,https://www.zillow.com/homedetails/5520-Lockridge-Rd-Durham-NC-27705/50050633_zpid/
For sale by owner,3923 Murphy School Rd,Durham,NC,27705,"$180,000","3 bds , 2 ba , 2,190 sqft",,https://www.zillow.com/homedetails/3923-Murphy-School-Rd-Durham-NC-27705/2087564507_zpid/
House for sale,4304 Linden Rd,DURHAM,NC,27705,"$325,000","3 bds , 3 ba , 2,154 sqft",West and Woodall Real Estate,https://www.zillow.com/homedetails/4304-Linden-Rd-Durham-NC-27705/50052544_zpid/
House for sale,1111 Onslow St,DURHAM,NC,27705,"$185,000","3 bds , 2 ba , 1,267 sqft",KW Elite Realty,https://www.zillow.com/homedetails/1111-Onslow-St-Durham-NC-27705/49966694_zpid/
House for sale,1409 Pinecrest Rd,DURHAM,NC,27705,"$849,000","4 bds , 4 ba , 2,899 sqft",,https://www.zillow.com/homedetails/1409-Pinecrest-Rd-Durham-NC-27705/49967263_zpid/
House for sale,3704 Kilgo Dr,DURHAM,NC,27705,"$388,000","4 bds , 2.5 ba , 2,334 sqft",,https://www.zillow.com/homedetails/3704-Kilgo-Dr-Durham-NC-27705/98223927_zpid/
House for sale,1121 Anderson St,DURHAM,NC,27705,"$894,500","4 bds , 4 ba , 3,962 sqft",,https://www.zillow.com/homedetails/1121-Anderson-St-Durham-NC-27705/49972294_zpid/
House for sale,2807 Montgomery St,DURHAM,NC,27705,"$680,000","4 bds , 4 ba , 3,078 sqft",Distinctive Properties,https://www.zillow.com/homedetails/2807-Montgomery-St-Durham-NC-27705/49981735_zpid/
House for sale,1226 Sedgefield St,DURHAM,NC,27705,"$280,000","3 bds , 3 ba , 1,658 sqft",Fonville Morisey/Durham Sales Office,https://www.zillow.com/homedetails/1226-Sedgefield-St-Durham-NC-27705/49967061_zpid/
House for sale,4610 Pinedale Dr,DURHAM,NC,27705,"$262,500","3 bds , 2 ba , 1,651 sqft",Coldwell Banker Howard Perry and Walston,https://www.zillow.com/homedetails/4610-Pinedale-Dr-Durham-NC-27705/50016701_zpid/
For sale by owner,704 Constitution Dr # D,Durham,NC,27705,"$199,900","3 bds , 2 ba , 1,719 sqft",,https://www.zillow.com/homedetails/704-Constitution-Dr-D-Durham-NC-27705/50016199_zpid/
Condo for sale,2608 Erwin Rd UNIT 424,Durham,NC,27705,"$354,000","2 bds , 2 ba , 1,265 sqft",Keller Williams Realty United,https://www.zillow.com/homedetails/2608-Erwin-Rd-UNIT-424-Durham-NC-27705/2125533903_zpid/
House for sale,1008 Berkeley St,DURHAM,NC,27705,"$337,400","3 bds , 2 ba , 1,670 sqft",Keller Williams Realty United,https://www.zillow.com/homedetails/1008-Berkeley-St-Durham-NC-27705/49966796_zpid/
House for sale,4315 Sadie Scarlett Ln,DURHAM,NC,27705,"$389,000","4 bds , 3 ba , 3,611 sqft",,https://www.zillow.com/homedetails/4315-Sadie-Scarlett-Ln-Durham-NC-27705/65061376_zpid/
House for sale,2249 Charlotte St,DURHAM,NC,27705,"$219,000","3 bds , 2 ba , 1,363 sqft",,https://www.zillow.com/homedetails/2249-Charlotte-St-Durham-NC-27705/49984941_zpid/
House for sale,2004 Pershing St,DURHAM,NC,27705,"$650,000","4 bds , 3 ba , 2,579 sqft",RE/MAX Advantage,https://www.zillow.com/homedetails/2004-Pershing-St-Durham-NC-27705/49967476_zpid/
For sale by owner,4154 Murphy School Rd,Durham,NC,27705,"$125,000",7.65 ac lot,,https://www.zillow.com/homedetails/4154-Murphy-School-Rd-Durham-NC-27705/2131482743_zpid/
House for sale,3115 Rosebriar Dr,DURHAM,NC,27705,"$215,000","3 bds , 2 ba , 1,660 sqft",,https://www.zillow.com/homedetails/3115-Rosebriar-Dr-Durham-NC-27705/50017906_zpid/
House for sale,18 Dalton Ct,DURHAM,NC,27705,"$289,900","3 bds , 2.5 ba , 2,670 sqft",Fonville Morisey/Durham Sales Office,https://www.zillow.com/homedetails/18-Dalton-Ct-Durham-NC-27705/50019440_zpid/
