title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,1607 Lincoln St,DURHAM,NC,27701,"$194,900","3 bds , 2 ba , 1,618 sqft",,https://www.zillow.com/homedetails/1607-Lincoln-St-Durham-NC-27701/49979061_zpid/
House for sale,1308 Ruffin St,DURHAM,NC,27701,"$355,000","3 bds , 2 ba , 1,550 sqft",,https://www.zillow.com/homedetails/1308-Ruffin-St-Durham-NC-27701/49970097_zpid/
House for sale,410 E Geer St,DURHAM,NC,27701,"$225,000","4 bds , 2 ba , 1,909 sqft",Keller Williams Brier Creek,https://www.zillow.com/homedetails/410-E-Geer-St-Durham-NC-27701/49973978_zpid/
For sale by owner,810 Lee St,DURHAM,NC,27701,"$104,500","4 bds , 2 ba , 1,344 sqft",,https://www.zillow.com/homedetails/810-Lee-St-Durham-NC-27701/49974150_zpid/
Condo for sale,807 W Trinity Ave APT 234,DURHAM,NC,27701,"$165,000","1 bd , 1 ba , 600 sqft",,https://www.zillow.com/homedetails/807-W-Trinity-Ave-APT-234-Durham-NC-27701/80197218_zpid/
House for sale,1110 Fern St,DURHAM,NC,27701,"$359,000","4 bds , 2 ba , 2,047 sqft",The Virtual Realty Group,https://www.zillow.com/homedetails/1110-Fern-St-Durham-NC-27701/49974340_zpid/
House for sale,501 N Elizabeth St,DURHAM,NC,27701,"$340,000","2 bds , 2 ba , 1,360 sqft",,https://www.zillow.com/homedetails/501-N-Elizabeth-St-Durham-NC-27701/49973922_zpid/
House for sale,1005 Morning Glory Ave,DURHAM,NC,27701,"$459,500","4 bds , 3 ba , 2,206 sqft",,https://www.zillow.com/homedetails/1005-Morning-Glory-Ave-Durham-NC-27701/49974773_zpid/
House for sale,1107 Park Ave,DURHAM,NC,27701,"$131,000","3 bds , 1 ba , 1,160 sqft",19 East Realty,https://www.zillow.com/homedetails/1107-Park-Ave-Durham-NC-27701/49975721_zpid/
New construction,310 W Trinity Ave,Durham,NC,27701,"$670,000","4 bds , 4 ba , 2,438 sqft",West and Woodall Real Estate,https://www.zillow.com/homedetails/310-W-Trinity-Ave-Durham-NC-27701/2092362879_zpid/
House for sale,909 Dayton St,DURHAM,NC,27701,"$224,900","3 bds , 2 ba , 1,799 sqft",CENTURY 21 Triangle Group,https://www.zillow.com/homedetails/909-Dayton-St-Durham-NC-27701/49979086_zpid/
New construction,1102 Gurley St,DURHAM,NC,27701,"$459,900","3 bds , 4 ba , 2,075 sqft",Neighborhood Sales and Marketi,https://www.zillow.com/homedetails/1102-Gurley-St-Durham-NC-27701/49974049_zpid/
House for sale,1507 N Duke St,DURHAM,NC,27701,"$349,998","3 bds , 2 ba , 1,205 sqft",MGA Realty,https://www.zillow.com/homedetails/1507-N-Duke-St-Durham-NC-27701/49968313_zpid/
House for sale,1105 N Duke St,DURHAM,NC,27701,"$349,911","3 bds , 2 ba , 1,310 sqft",,https://www.zillow.com/homedetails/1105-N-Duke-St-Durham-NC-27701/49968540_zpid/
House for sale,1306 N Mangum St,DURHAM,NC,27701,"$425,000","5 bds , 3 ba , 3,331 sqft",Berkshire Hathaway HomeServices Carolinas Realty,https://www.zillow.com/homedetails/1306-N-Mangum-St-Durham-NC-27701/49973006_zpid/
House for sale,710 Holloway St,DURHAM,NC,27701,"$364,900","3 bds , 2 ba , 1,673 sqft",Trammel Brothers Inc.,https://www.zillow.com/homedetails/710-Holloway-St-Durham-NC-27701/49974455_zpid/
New construction,12400 Angel Vale Pl,Durham,NC,27701,"$378,900","3 bds , 2 ba , 2,646 sqft",,https://www.zillow.com/homedetails/12400-Angel-Vale-Pl-Durham-NC-27701/249994011_zpid/
New construction,505 Dowd St,DURHAM,NC,27701,"$442,000","3 bds , 3 ba , 1,910 sqft",West and Woodall Real Estate,https://www.zillow.com/homedetails/505-Dowd-St-Durham-NC-27701/49974039_zpid/
House for sale,710 Eva St,DURHAM,NC,27701,"$399,999","3 bds , 2 ba , 1,370 sqft",United Real Estate Raleigh,https://www.zillow.com/homedetails/710-Eva-St-Durham-NC-27701/49974482_zpid/
House for sale,804 Juniper St,DURHAM,NC,27701,"$99,000","2 bds , 1 ba , 839 sqft",Reformation Asset Management,https://www.zillow.com/homedetails/804-Juniper-St-Durham-NC-27701/49973842_zpid/
Condo for sale,103 W Main St APT 405,Durham,NC,27701,"$1,150,000","2 bds , 2 ba , 2,270 sqft",,https://www.zillow.com/homedetails/103-W-Main-St-APT-405-Durham-NC-27701/2090233817_zpid/
New construction,324 Gray Ave,DURHAM,NC,27701,"$449,900","4 bds , 3 ba , 2,052 sqft",Neighborhood Sales and Marketi,https://www.zillow.com/homedetails/324-Gray-Ave-Durham-NC-27701/49973631_zpid/
House for sale,1116 Gurley St,DURHAM,NC,27701,"$500,000","3 bds , 3 ba , 2,257 sqft","Homewood Realty, LLC",https://www.zillow.com/homedetails/1116-Gurley-St-Durham-NC-27701/49973555_zpid/
For sale by owner,207 Mallard Ave,DURHAM,NC,27701,"$350,000","4 bds , 2 ba , 2,401 sqft",,https://www.zillow.com/homedetails/207-Mallard-Ave-Durham-NC-27701/49973726_zpid/
House for sale,1411 N Gregson St,DURHAM,NC,27701,"$875,000","5 bds , 5 ba , 4,182 sqft",Coldwell Banker Advantage,https://www.zillow.com/homedetails/1411-N-Gregson-St-Durham-NC-27701/49968281_zpid/
