title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,8114 Royal Dr,CHATTANOOGA,TN,37421,"$174,900","3 bds , 2 ba , 1,215 sqft",Keller Williams Realty Cleveland,https://www.zillow.com/homedetails/8114-Royal-Dr-Chattanooga-TN-37421/41431398_zpid/
Townhouse for sale,6447 Laramie Cir,Chattanooga,TN,37421,"$245,000","3 bds , 2 ba , 1,635 sqft","Coldwell Banker Pryor Realty, Inc.",https://www.zillow.com/homedetails/6447-Laramie-Cir-Chattanooga-TN-37421/192062931_zpid/
House for sale,889 Norfolk Green Cir,CHATTANOOGA,TN,37421,"$300,000","4 bds , 3 ba , 2,681 sqft",Berkshire Hathaway HomeServices Realty Center,https://www.zillow.com/homedetails/889-Norfolk-Green-Cir-Chattanooga-TN-37421/52127573_zpid/
House for sale,1739 Morris Hill Rd,CHATTANOOGA,TN,37421,"$239,900","5 bds , 3 ba , 2,000 sqft","Real Estate Partners Chattanooga, LLC",https://www.zillow.com/homedetails/1739-Morris-Hill-Rd-Chattanooga-TN-37421/55238362_zpid/
Townhouse for sale,6757 Hickory Manor Cir,CHATTANOOGA,TN,37421,"$195,000","3 bds , 2 ba , 1,857 sqft",Real Estate Partners Chatt LLC,https://www.zillow.com/homedetails/6757-Hickory-Manor-Cir-Chattanooga-TN-37421/55224254_zpid/
House for sale,8044 Rosemere Way,CHATTANOOGA,TN,37421,"$400,000","5 bds , 4 ba , 3,527 sqft",Berkshire Hathaway HomeServices J Douglas Properties,https://www.zillow.com/homedetails/8044-Rosemere-Way-Chattanooga-TN-37421/55250839_zpid/
New construction,8369 Glenshire Ln # 4,Chattanooga,TN,37421,"$299,900","4 bds , 4 ba , 2,600 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/8369-Glenshire-Ln-4-Chattanooga-TN-37421/2092300591_zpid/
House for sale,8701 Hurricane Manor Trl,CHATTANOOGA,TN,37421,"$339,900","5 bds , 3 ba , 3,015 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/8701-Hurricane-Manor-Trl-Chattanooga-TN-37421/55250277_zpid/
House for sale,3810 Brock Rd,CHATTANOOGA,TN,37421,"$175,000","3 bds , 3 ba , 2,190 sqft",RE/MAX Properties,https://www.zillow.com/homedetails/3810-Brock-Rd-Chattanooga-TN-37421/67943849_zpid/
House for sale,727 Neighborhood Rd,CHATTANOOGA,TN,37421,"$184,900","3 bds , 2 ba , 1,200 sqft",Select Realty Professionals,https://www.zillow.com/homedetails/727-Neighborhood-Rd-Chattanooga-TN-37421/55250752_zpid/
