title,address,city,state,postal_code,price,facts and features,real estate provider,url
New construction,8606 George Town Trace Ln,Chattanooga,TN,37421,"$339,000","4 bds , 4 ba , 2,662 sqft",Keller Williams Realty Greater Downtown,https://www.zillow.com/homedetails/8606-George-Town-Trace-Ln-Chattanooga-TN-37421/192099205_zpid/
House for sale,9517 Timberlog Dr,CHATTANOOGA,TN,37421,"$229,900","3 bds , 3 ba , 2,529 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/9517-Timberlog-Dr-Chattanooga-TN-37421/41432897_zpid/
House for sale,7128 Tyner Crossing Dr,CHATTANOOGA,TN,37421,"$169,900","3 bds , 2 ba , 1,254 sqft",,https://www.zillow.com/homedetails/7128-Tyner-Crossing-Dr-Chattanooga-TN-37421/67947402_zpid/
House for sale,315 Bass Rd,CHATTANOOGA,TN,37421,"$260,000","3 bds , 3 ba , 2,600 sqft",Keller Williams Realty Greater Downtown,https://www.zillow.com/homedetails/315-Bass-Rd-Chattanooga-TN-37421/55236497_zpid/
Foreclosure,2334 Marco Cir,CHATTANOOGA,TN,37421,"$123,000","3 bds , 3 ba , 1,820 sqft",ERA Blue Key Properties,https://www.zillow.com/homedetails/2334-Marco-Cir-Chattanooga-TN-37421/41424928_zpid/
House for sale,6040 E Brainerd Rd,Chattanooga,TN,37421,"$170,000","2 bds , 1 ba , 1,455 sqft",Keller Williams Realty Greater Downtown,https://www.zillow.com/homedetails/6040-E-Brainerd-Rd-Chattanooga-TN-37421/2086948622_zpid/
House for sale,404 Osborne Dr,CHATTANOOGA,TN,37421,"$159,500","4 bds , 2 ba , 1,642 sqft",,https://www.zillow.com/homedetails/404-Osborne-Dr-Chattanooga-TN-37421/55236508_zpid/
House for sale,8915 Potomac Dr,CHATTANOOGA,TN,37421,"$279,000","4 bds , 3 ba , 3,160 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/8915-Potomac-Dr-Chattanooga-TN-37421/55239038_zpid/
House for sale,1404 Stratman Cir,CHATTANOOGA,TN,37421,"$179,000","3 bds , 2 ba , 1,755 sqft",,https://www.zillow.com/homedetails/1404-Stratman-Cir-Chattanooga-TN-37421/55236968_zpid/
House for sale,2236 Haven Crest Dr,CHATTANOOGA,TN,37421,"$235,000","4 bds , 3 ba , 2,600 sqft",Black Creek Mountain Realty,https://www.zillow.com/homedetails/2236-Haven-Crest-Dr-Chattanooga-TN-37421/55225646_zpid/
House for sale,1010 Stone Ledge Ln,Chattanooga,TN,37421,"$414,900","4 bds , 4 ba , 2,975 sqft",RE/MAX Properties,https://www.zillow.com/homedetails/1010-Stone-Ledge-Ln-Chattanooga-TN-37421/192119504_zpid/
House for sale,2615 Standifer Chase Dr,CHATTANOOGA,TN,37421,"$170,000","3 bds , 2 ba , 1,574 sqft",Premier Property Group Inc.,https://www.zillow.com/homedetails/2615-Standifer-Chase-Dr-Chattanooga-TN-37421/41425850_zpid/
House for sale,8912 Quail Run Dr,CHATTANOOGA,TN,37421,"$229,900","4 bds , 3 ba , 2,028 sqft",EXP Realty LLC,https://www.zillow.com/homedetails/8912-Quail-Run-Dr-Chattanooga-TN-37421/55227191_zpid/
House for sale,715 Pine Brow Trl,CHATTANOOGA,TN,37421,"$319,900","3 bds , 2 ba , 2,309 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/715-Pine-Brow-Trl-Chattanooga-TN-37421/55251261_zpid/
House for sale,7208 Bonny Oaks Dr,CHATTANOOGA,TN,37421,"$114,900","3 bds , 2 ba , 1,650 sqft",Keller Williams Realty Greater Downtown,https://www.zillow.com/homedetails/7208-Bonny-Oaks-Dr-Chattanooga-TN-37421/88060841_zpid/
