title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,14 Fremont St,Boston,MA,02126,"$419,900","3 bds , 2 ba , 1,508 sqft","Mission Realty Advisors, LLC",https://www.zillow.com/homedetails/14-Fremont-St-Boston-MA-02126/59138021_zpid/
Auction,92 Gladeside Ave,Boston,MA,02126,$388K,"4 bds , 2 ba , 1,836 sqft",,https://www.zillow.com/homedetails/92-Gladeside-Ave-Boston-MA-02126/59137058_zpid/
Apartment for sale,6 Caddy Rd # 8,Boston,MA,02126,"$539,900","4 bds , 2 ba , 1,700 sqft","Cantave Realty Group, Inc.",https://www.zillow.com/homedetails/6-Caddy-Rd-8-Boston-MA-02126/2086927767_zpid/
House for sale,17 Doone Ave,Boston,MA,02126,"$380,000","3 bds , 2 ba , 1,652 sqft",Keller Williams Realty Chestnut Hill,https://www.zillow.com/homedetails/17-Doone-Ave-Boston-MA-02126/59137175_zpid/
Condo for sale,45 Fottler Rd APT 2,Boston,MA,02126,"$199,900","2 bds , 1 ba , 750 sqft",,https://www.zillow.com/homedetails/45-Fottler-Rd-APT-2-Boston-MA-02126/59210629_zpid/
House for sale,253 Itasca St,Boston,MA,02126,"$439,000","3 bds , 3 ba , 1,414 sqft","Crystal Realty Assoc., Inc.",https://www.zillow.com/homedetails/253-Itasca-St-Boston-MA-02126/59140861_zpid/
House for sale,34 Hallowell St,Boston,MA,02126,"$415,000","4 bds , 2 ba , 1,534 sqft",Keller Williams Realty Easton,https://www.zillow.com/homedetails/34-Hallowell-St-Boston-MA-02126/59138946_zpid/
Auction,639 Morton St,Boston,MA,02126,$548K,"9 bds , 3 ba , 4,392 sqft",,https://www.zillow.com/homedetails/639-Morton-St-Boston-MA-02126/59138470_zpid/
Apartment for sale,109 W Selden St,Boston,MA,02126,"$590,000","5 bds , 2 ba , 2,304 sqft",,https://www.zillow.com/homedetails/109-W-Selden-St-Boston-MA-02126/59136915_zpid/
Condo for sale,560 River St # 3,Boston,MA,02126,"$299,999","2 bds , 1 ba , 826 sqft","Stuart St James, Inc.",https://www.zillow.com/homedetails/560-River-St-3-Boston-MA-02126/2087336129_zpid/
House for sale,1024 Morton St,Boston,MA,02126,"$539,900","4 bds , 2 ba , 1,712 sqft",Redfin Corp.,https://www.zillow.com/homedetails/1024-Morton-St-Boston-MA-02126/59116396_zpid/
House for sale,68-R Temple St,Boston,MA,02126,"$400,000","3 bds , 1 ba , 773 sqft",Charles King,https://www.zillow.com/homedetails/68-R-Temple-St-Boston-MA-02126/2087511182_zpid/
House for sale,108R River St,Boston,MA,02126,"$415,099","3 bds , 1 ba , 982 sqft","CFS, Realty",https://www.zillow.com/homedetails/108R-River-St-Boston-MA-02126/2086920982_zpid/
Condo for sale,1000 Harvard St APT 3,Boston,MA,02126,"$329,900","3 bds , 2 ba , 925 sqft","Lamacchia Realty, Inc.",https://www.zillow.com/homedetails/1000-Harvard-St-APT-3-Boston-MA-02126/59136561_zpid/
Condo for sale,560 River St # 2,Boston,MA,02126,"$349,999","2 bds , 2 ba , 771 sqft","Stuart St James, Inc.",https://www.zillow.com/homedetails/560-River-St-2-Boston-MA-02126/2087335726_zpid/
House for sale,234 W Selden St,Boston,MA,02126,"$459,900","4 bds , 3 ba , 1,819 sqft",CENTURY 21 Mario Real Estate,https://www.zillow.com/homedetails/234-W-Selden-St-Boston-MA-02126/59137105_zpid/
House for sale,93 Babson St,Boston,MA,02126,"$434,000","3 bds , 2 ba , 1,352 sqft",Joanna Morris,https://www.zillow.com/homedetails/93-Babson-St-Boston-MA-02126/59138011_zpid/
Apartment for sale,60 Woolson St,Boston,MA,02126,"$759,900","9 bds , 3 ba , 3,500 sqft",eXp Realty,https://www.zillow.com/homedetails/60-Woolson-St-Boston-MA-02126/59139440_zpid/
Condo for sale,24 Ellison Ave # 2,Boston,MA,02126,"$495,000","3 bds , 1 ba , 1,253 sqft",Coldwell Banker Residential Brokerage - Milton,https://www.zillow.com/homedetails/24-Ellison-Ave-2-Boston-MA-02126/2089692115_zpid/
House for sale,182 Savannah Ave,Boston,MA,02126,"$649,000","5 bds , 5 ba , 3,314 sqft",Keller Williams Realty Easton,https://www.zillow.com/homedetails/182-Savannah-Ave-Boston-MA-02126/59138973_zpid/
Apartment for sale,1222 Blue Hill Ave,Boston,MA,02126,"$889,000","13 bds , 6 ba , 4,272 sqft",Kerry Realty Group,https://www.zillow.com/homedetails/1222-Blue-Hill-Ave-Boston-MA-02126/2087199855_zpid/
Apartment for sale,57 Fottler Rd,Boston,MA,02126,"$983,000","9 bds , 3 ba , 5,448 sqft","Triple 7 Real Estate, Inc.",https://www.zillow.com/homedetails/57-Fottler-Rd-Boston-MA-02126/59137632_zpid/
